City,YearMonth,Period,Year,Monthly_Mean,Monthly_SD,n_days
Edinburgh,2020-01-01,Pandemic,2020,3.8620689655172415,1.9406209965412486,29
Edinburgh,2020-02-01,Pandemic,2020,4.137931034482759,2.0826517768569284,29
Edinburgh,2020-03-01,Pandemic,2020,5.32258064516129,3.3104591501702956,31
Edinburgh,2020-04-01,Pandemic,2020,6.533333333333333,3.266690124241369,30
Edinburgh,2020-05-01,Pandemic,2020,4.451612903225806,1.670103982340009,31
Edinburgh,2020-06-01,Pandemic,2020,5.133333333333334,3.159368480472371,30
Edinburgh,2020-07-01,Pandemic,2020,2.586206896551724,1.2105854952787558,29
Edinburgh,2020-08-01,Pandemic,2020,4.387096774193548,3.062432794961534,31
Edinburgh,2020-09-01,Pandemic,2020,4.2,2.0577858874578494,30
Edinburgh,2020-10-01,Pandemic,2020,3.4838709677419355,1.411168965596383,31
Edinburgh,2020-11-01,Pandemic,2020,5.666666666666667,5.005743827281598,30
Edinburgh,2020-12-01,Pandemic,2020,3.870967741935484,1.6071078678560227,31
Edinburgh,2021-01-01,Pandemic,2021,3.903225806451613,1.4225526049951525,31
Edinburgh,2021-02-01,Pandemic,2021,3.8076923076923075,1.5752899610987374,26
Edinburgh,2021-03-01,Pandemic,2021,5.612903225806452,4.013954154819067,31
Edinburgh,2021-04-01,Pandemic,2021,6.3,3.9405058313491366,30
Edinburgh,2021-05-01,Pandemic,2021,4.741935483870968,2.9996415556472065,31
Edinburgh,2021-06-01,Pandemic,2021,5.133333333333334,2.897482061868645,30
Edinburgh,2021-07-01,Pandemic,2021,6.482758620689655,3.08939071264375,29
Edinburgh,2021-08-01,Pandemic,2021,4.935483870967742,2.064549730909345,31
Edinburgh,2021-09-01,Pandemic,2021,5.666666666666667,4.700207870189201,30
Edinburgh,2021-10-01,Pandemic,2021,2.806451612903226,1.046242637208969,31
Edinburgh,2021-11-01,Pandemic,2021,3.2,1.6691934868527747,30
Edinburgh,2021-12-01,Pandemic,2021,4.709677419354839,3.1218963081979174,31
Edinburgh,2022-01-01,Post-Pandemic,2022,5,2.6186146828319083,29
Edinburgh,2022-02-01,Post-Pandemic,2022,3.7857142857142856,1.5481684006675103,28
Edinburgh,2022-03-01,Post-Pandemic,2022,11.903225806451612,9.77873488310111,31
Edinburgh,2022-04-01,Post-Pandemic,2022,5.866666666666666,3.2561171432512546,30
Edinburgh,2022-05-01,Post-Pandemic,2022,4.516129032258065,2.791307551930164,31
Edinburgh,2022-06-01,Post-Pandemic,2022,4.233333333333333,1.4064710873459965,30
Edinburgh,2022-07-01,Post-Pandemic,2022,3.3225806451612905,1.921580890381555,31
Edinburgh,2022-08-01,Post-Pandemic,2022,4.827586206896552,2.4358771596584696,29
Edinburgh,2022-09-01,Post-Pandemic,2022,4.2,2.0068847019439238,30
Edinburgh,2022-10-01,Post-Pandemic,2022,3.806451612903226,1.2225480178356916,31
Edinburgh,2022-11-01,Post-Pandemic,2022,5.233333333333333,2.608782690535335,30
Edinburgh,2022-12-01,Post-Pandemic,2022,4.838709677419355,2.6968719434874715,31
Edinburgh,2023-01-01,Post-Pandemic,2023,3.4516129032258065,1.206612604979172,31
Edinburgh,2023-02-01,Post-Pandemic,2023,5,4.618802153517006,28
Edinburgh,2023-03-01,Post-Pandemic,2023,3.7096774193548385,1.4650039450935908,31
Edinburgh,2023-04-01,Post-Pandemic,2023,6.9,3.790641834470962,30
Edinburgh,2023-05-01,Post-Pandemic,2023,6.870967741935484,3.1383853118429226,31
Edinburgh,2023-06-01,Post-Pandemic,2023,5.9,2.7209278336372815,30
Edinburgh,2023-07-01,Post-Pandemic,2023,3.4516129032258065,1.997310018957487,31
Edinburgh,2023-08-01,Post-Pandemic,2023,3.5161290322580645,1.060533442563552,31
Edinburgh,2023-09-01,Post-Pandemic,2023,4.566666666666666,2.8000410506022,30
Edinburgh,2023-10-01,Post-Pandemic,2023,4.354838709677419,1.603088417124358,31
Edinburgh,2023-11-01,Post-Pandemic,2023,4.066666666666666,2.0160277319749236,30
Edinburgh,2023-12-01,Post-Pandemic,2023,4.387096774193548,3.1056659978694716,31
Edinburgh,2024-01-01,Post-Pandemic,2024,4.387096774193548,1.6263951827039393,31
Edinburgh,2024-02-01,Post-Pandemic,2024,4.517241379310345,1.9202062697081792,29
Edinburgh,2024-03-01,Post-Pandemic,2024,6.774193548387097,5.702102988777356,31
Edinburgh,2024-04-01,Post-Pandemic,2024,3.566666666666667,1.4546793303071948,30
Edinburgh,2024-05-01,Post-Pandemic,2024,9.580645161290322,6.474432760473498,31
Edinburgh,2024-06-01,Post-Pandemic,2024,4.454545454545454,1.9679246105293955,11
Edinburgh,2024-08-01,Post-Pandemic,2024,4.8,2.7215614179592085,30
Edinburgh,2024-09-01,Post-Pandemic,2024,5.88,3.778447653027188,25
Edinburgh,2024-10-01,Post-Pandemic,2024,5.032258064516129,3.240204427375346,31
